state,code,percent
Alaska,AK,83.1
Alabama,AL,72.0
Arizona,AZ,73.7
Arkansas,AR,74.8
California,CA,81.3
Colorado,CO,85.7
Connecticut,CN,84.0
Delaware,DE,78.2
District of Columbia,DC,77.5
Florida,FL,81.5
Georgia,GA,79.2
Hawaii,HA,85.0
Idaho,ID,86.8
Illinois,IL,82.7
Indiana,IN,77.7
Iowa,IA,80.2
Kansas,KA,80.7
Kentucky,KY,74.4
Louisiana,LA,67.7
Maine,ME,84.2
Maryland,MD,83.6
Massachusetts,MA,86.0
Michigan,MI,80.8
Minnesota,MN,87.4
Mississippi,MS,64.8
Missouri,MO,75.4
Montana,MT,78.3
Nebraska,NE,76.1
Nevada,NV,82.8
New Hampshire,NH,87.7
New Jersey,NJ,83.7
New Mexico,NM,73.9
New York,NY,81.0
North Carolina,NC,77.7
North Dakota,ND,84.0
Ohio,OH,75.6
Oklahoma,OK,74.8
Oregon,OR,87.9
Pennsylvania,PA,80.8
Rhode Island,RI,82.2
South Carolina,SC,73.7
South Dakota,SD,78.3
Tennessee,TN,74.3
Texas,TX,72.6
Utah,UT,85.2
Virginia,VA,77.2
Vermont,VM,85.7
Washington,WA,85.1
West Virginia,WV,70.6
Wisconsin,WI,80.7
Wyoming,WY,82.9
