fips,statename,countyname,r0ttt0_14,r0ttt15_24,r0ttt25,r0ttt30_54,r0ttt55_74,r0ttt75plus,r0ttt_t,r0bnt_t,r0tht_t,r0wnt_t,m0ttt0_14,m0ttt15_24,m0ttt25,m0ttt30_54,m0ttt55_74,m0ttt75plus,m0ttt_t,m0bnt_t,m0tht_t,m0wnt_t,e0ttt0_14,e0ttt15_24,e0ttt25,e0ttt30_54,e0ttt55_74,e0ttt75plus,e0ttt_t,e0bnt_t,e0tht_t,e0wnt_t
1001,Alabama,Autauga County,22.5,0.2,0,28.6,14.3,21.9,17,20,62,15,2204,11,10,4395,1218,451,8280,1702,511,5690,9795,7306,3186,15381,8546,2063,46277,8174,821,36640
1003,Alabama,Baldwin County,20.6,7.3,12.1,36.2,35.8,12.9,25,10,117,24,5991,1430,11230,16229,11034,1452,37259,1621,4439,29788,29150,19482,9222,44882,30802,11234,144772,16055,3769,122918
1005,Alabama,Barbour County,-9.7,-15.9,-0.8,-8.5,1.1,-19.2,-8,-8,40,-10,-540,-668,-180,-896,66,-394,-2450,-1239,407,-1586,5568,4198,2096,10483,5745,2057,30147,14394,1014,14431
1007,Alabama,Bibb County,2.8,2.4,23.5,23.2,12.9,2.4,12,22,76,9,118,71,3130,1595,503,27,2627,963,176,1421,4156,2950,1328,6868,3906,1146,20354,4234,230,15775
1009,Alabama,Blount County,13,-2.2,5.2,11.3,13.1,4.1,9,23,24,7,1351,-158,1730,1964,1410,131,4871,153,944,3595,10389,7242,3286,17438,10786,3204,52345,644,3801,47400
1011,Alabama,Bullock County,-18.1,-16.5,-0.9,-9,5.4,-16.4,-9,-12,17,-5,-447,-284,-80,-381,115,-124,-1129,-1093,120,-141,2475,1725,865,4255,2122,756,12198,8885,675,2542
1013,Alabama,Butler County,0.3,-20.7,-25.6,4.1,10.2,-1.6,-2,0,27,-5,14,-667,-4500,259,429,-26,-441,-3,40,-631,4231,3220,1760,6374,4186,1676,21447,9201,144,11954
1015,Alabama,Calhoun County,3.4,18.8,-3.3,1.3,4.8,-2.5,4,9,64,0,756,2777,-2680,510,1116,-191,4700,2227,1563,556,21991,14780,7962,38325,23166,7694,113918,22757,2424,87106
1017,Alabama,Chambers County,-6.6,-16.8,-20.6,-3.2,4.8,-8.3,-5,-8,86,-5,-449,-848,-4990,-379,360,-233,-2048,-1287,249,-1127,6770,5057,2421,11844,7448,2818,36358,14788,288,21067
1019,Alabama,Cherokee County,12.2,-2.7,-11.9,13.8,23.1,-15.6,9,-4,30,9,498,-80,-1640,1058,1264,-320,2256,-61,74,2102,4095,2981,1373,7644,5481,2050,23624,1331,242,21871
