x,y,status,cost_lawler,cost_places,historical_species_lawler,future_species_lawler,historical_species_refugia_lawler,historical_species_corridors_lawler,future_species_refugia_corridors_lawler,historical_species_places,future_species_places,historical_species_refugia_places,historical_species_corridors_places,future_species_refugia_corridors_places
-1958045,3162285,0,1526,74442,0.2,1,0.3,0.3,1,0,1,0,0,1
-1948045,3162285,0,1910,36526,0,0,0.2,0,0,0,0,0,0,0
-1958045,3152285,0,2050,50753,0.1,1,0,0.1,1,0,1,0,0,1
-1948045,3142285,0,2526,59234,0,1,0,0,1,0,1,0,0,1
-1938045,3142285,0,2206,53481,0,0,0.1,0.1,0,0,0,0,0,0
-1908045,3142285,0,1086,6124,0,1,0,0,1,0,1,0,0,1
-1898045,3142285,0,1046,4154,0,1,0,0,1,0,1,0,0,1
-1888045,3142285,0,1048,3457,0,1,0,0,1,0,1,0,0,1
-1878045,3142285,2,989,3102,1,1,1,1,1,1,1,1,1,1
-2108045,3132285,0,1598,6804,0,0,0,0,0,1,0,1,0.9,0
-1938045,3132285,0,1149,51332,0.5,0,0.7,0.2,0,0,0,0,0,0
-1908045,3132285,0,1042,3717,0,1,0,0,1,0,1,0,0,1
-1898045,3132285,0,1052,3700,0,1,0,0,1,0,1,0,0,1
-1888045,3132285,0,1046,3710,0,1,0,0,1,0,1,0,0,1
-1878045,3132285,2,1020,3426,1,1,1,1,1,1,1,1,1,1
-1868045,3132285,2,1019,2920,1,1,1,1,1,1,1,1,1,1
-1858045,3132285,2,1038,3642,1,1,1,1,1,1,1,1,1,1
-1848045,3132285,2,984,4244,1,1,1,1,1,1,1,1,1,1
-1838045,3132285,0,1075,5522,0,0,0,1,1,0,0,0,0.6,0
-2118045,3122285,0,1638,6785,1,1,1,1,1,1,1,1,1,1
-2108045,3122285,0,1662,5638,0,0,0.1,0,0,1,0,1,1,0
-2098045,3122285,0,1599,6453,0.2,0,0.1,0.2,0,1,0,1,1,0
-1948045,3122285,0,1006,28835,0.4,1,0.9,0.8,1,0,1,0,0,1
-1938045,3122285,0,1020,15941,0.8,0,0.8,0.6,0,0.1,0,0,0.3,0
-1928045,3122285,0,1215,9463,0.6,0,0.4,0.3,0,0.9,0,1,0.9,0
-1908045,3122285,0,1045,3137,0,1,0,0,1,0,1,0,0,1
-1898045,3122285,2,973,3048,1,1,1,1,1,1,1,1,1,1
-1888045,3122285,2,991,3469,1,1,1,1,1,1,1,1,1,1
-1878045,3122285,2,970,3059,1,1,1,1,1,1,1,1,1,1
-1868045,3122285,2,965,2765,1,1,1,1,1,1,1,1,1,1
-1858045,3122285,2,946,3419,1,1,1,1,1,1,1,1,1,1
-1848045,3122285,2,1030,4144,1,1,1,1,1,1,1,1,1,1
-1828045,3122285,2,1028,5200,1,1,1,1,1,1,1,1,1,1
-1818045,3122285,2,762,6059,1,1,1,1,1,1,1,1,1,1
-1808045,3122285,2,748,9357,1,1,1,1,1,1,1,1,1,1
-2118045,3112285,0,1626,7467,1,1,1,1,1,1,1,1,1,1
-1958045,3112285,0,1010,73642,0.9,1,0.7,0.8,1,0,1,0,0,1
-1948045,3112285,0,2488,25277,0,0,0,0,0,0,0,0,0,0
-1938045,3112285,0,972,21481,1,0,0.9,0.5,0,0.2,0,0.2,0.1,0
-1928045,3112285,0,875,8042,0.7,0,0.8,0.8,0,1,0,1,1,0
-1908045,3112285,0,941,2998,0,1,0,0,1,0,1,0,0,1
-1898045,3112285,0,1023,3660,0,1,0,0,1,0,1,0,0,1
-1878045,3112285,2,1054,2923,1,1,1,1,1,1,1,1,1,1
-1868045,3112285,2,945,2640,1,1,1,1,1,1,1,1,1,1
-1858045,3112285,2,937,3249,1,1,1,1,1,1,1,1,1,1
-1848045,3112285,2,1006,4171,1,1,1,1,1,1,1,1,1,1
-1838045,3112285,2,1045,5709,1,1,1,1,1,1,1,1,1,1
-1828045,3112285,2,1037,5601,1,1,1,1,1,1,1,1,1,1
-1818045,3112285,2,879,6833,1,1,1,1,1,1,1,1,1,1
-1808045,3112285,2,670,10049,1,1,1,1,1,1,1,1,1,1
-1798045,3112285,2,680,9914,1,1,1,1,1,1,1,1,1,1
-1788045,3112285,2,573,8168,1,1,1,1,1,1,1,1,1,1
-1778045,3112285,2,597,7477,1,1,1,1,1,1,1,1,1,1
-1768045,3112285,2,581,5957,1,1,1,1,1,1,1,1,1,1
-2118045,3102285,0,1619,8458,0.1,0,0,0.1,0,1,0,1,1,0
-1958045,3102285,0,1401,48485,0.5,1,0.3,0.6,1,0,1,0,0,1
-1878045,3102285,2,884,2182,1,1,1,1,1,1,1,1,1,1
-1868045,3102285,2,989,3365,1,1,1,1,1,1,1,1,1,1
-1858045,3102285,2,1022,3947,1,1,1,1,1,1,1,1,1,1
-1848045,3102285,2,1037,5315,1,1,1,1,1,1,1,1,1,1
-1838045,3102285,2,1048,6490,1,1,1,1,1,1,1,1,1,1
-1828045,3102285,2,1025,6424,1,1,1,1,1,1,1,1,1,1
-1818045,3102285,2,888,8930,1,1,1,1,1,1,1,1,1,1
-1808045,3102285,2,543,8199,1,1,1,1,1,1,1,1,1,1
-1798045,3102285,2,506,7550,1,1,1,1,1,1,1,1,1,1
-1788045,3102285,2,570,7620,1,1,1,1,1,1,1,1,1,1
-1778045,3102285,2,588,7138,1,1,1,1,1,1,1,1,1,1
-1768045,3102285,2,739,7182,1,1,1,1,1,1,1,1,1,1
-1758045,3102285,2,674,5722,1,1,1,1,1,1,1,1,1,1
-1748045,3102285,0,642,4454,0,0,0,0.1,0,0,0,0,0.1,0
-2118045,3092285,0,1635,10521,0.2,0,0.1,0,0,1,0,1,0.7,0
-2058045,3092285,0,1636,20935,0,1,0,0,1,0,1,0,0,1
-2048045,3092285,0,1665,27947,0,1,0,0,1,0,1,0,0,1
-1968045,3092285,0,5214,56281,0,1,0,0,1,0,1,0,0,1
-1858045,3092285,2,802,1915,1,1,1,1,1,1,1,1,1,1
-1848045,3092285,2,880,2737,1,1,1,1,1,1,1,1,1,1
-1838045,3092285,2,939,4057,1,1,1,1,1,1,1,1,1,1
-1818045,3092285,0,741,9016,0,1,0,0,1,0,1,0,0,1
-1808045,3092285,2,446,9633,1,1,1,1,1,1,1,1,1,1
-1798045,3092285,2,479,8937,1,1,1,1,1,1,1,1,1,1
-1788045,3092285,0,590,9566,0,1,0,0,1,0,1,0,0,1
-1778045,3092285,2,679,8804,1,1,1,1,1,1,1,1,1,1
-1768045,3092285,2,620,7322,1,1,1,1,1,1,1,1,1,1
-2088045,3082285,2,1682,8479,1,1,1,1,1,1,1,1,1,1
-2068045,3082285,2,1699,12545,1,1,1,1,1,1,1,1,1,1
-2058045,3082285,2,1688,13258,1,1,1,1,1,1,1,1,1,1
-2048045,3082285,2,1666,17028,1,1,1,1,1,1,1,1,1,1
-2038045,3082285,0,1680,27939,0.2,1,0,0.3,1,0,1,0,0,1
-2028045,3082285,0,1871,46941,0,1,0,0,1,0,1,0,0,1
-2018045,3082285,0,2733,62535,0,1,0,0,1,0,1,0,0,1
-2008045,3082285,0,3262,85457,0,1,0,0,1,0,1,0,0,1
-1978045,3082285,0,5927,60567,0,1,0,0,1,0,1,0,0,1
-1908045,3082285,0,846,2745,0,1,0,0,1,0,1,0,0,1
-1858045,3082285,2,821,1781,1,1,1,1,1,1,1,1,1,1
-1848045,3082285,2,776,2201,1,1,1,1,1,1,1,1,1,1
-1838045,3082285,2,712,2612,1,1,1,1,1,1,1,1,1,1
-1828045,3082285,0,748,4923,0,1,0,0,1,0,1,0,0,1
-1818045,3082285,0,541,8569,0,1,0,0,1,0,1,0,0,1
-1798045,3082285,0,549,20343,0,1,0,0,1,0,1,0,0,1
-1788045,3082285,0,662,16129,0,1,0,0,1,0,1,0,0,1
-2088045,3072285,2,1813,8454,1,1,1,1,1,1,1,1,1,1
-2078045,3072285,2,1800,8878,1,1,1,1,1,1,1,1,1,1
-2068045,3072285,2,1699,9564,1,1,1,1,1,1,1,1,1,1
-2058045,3072285,2,1582,10811,1,1,1,1,1,1,1,1,1,1
-2048045,3072285,2,1671,14418,1,1,1,1,1,1,1,1,1,1
-2038045,3072285,2,1636,18772,1,1,1,1,1,1,1,1,1,1
-2028045,3072285,2,1586,25114,1,1,1,1,1,1,1,1,1,1
-2018045,3072285,0,1627,35505,0.2,1,0.3,0.5,1,0,1,0,0,1
-2008045,3072285,0,2355,58309,0,1,0.1,0,1,0,1,0,0,1
-1998045,3072285,0,1732,49485,0.1,1,0,0.2,1,0,1,0,0,1
